[sound:Alt_pronunciation.mp3] Alt <br> <i>Du bist nie zu jung oder alt, so zu fahren.</i>; old, age, alt <br> <i>You're never too young or old to drive like this.</i> 
[sound:Haustiere_pronunciation.mp3] Haustiere <br> <i>Natürlich, ich füttere die Haustiere, während du weg bist.</i>; pets, pet, domestic animals <br> <i>Sure thing, I'll feed the pets while you're away.</i> 
[sound:Hund_pronunciation.mp3] Hund <br> <i>Weihnachtsgrußkarte mit santa claus, katze und hund.</i>; dog, pet, puppy <br> <i>Christmas greeting card with santa claus, cat and dog.</i> 
[sound:Jung_pronunciation.mp3] Jung <br> <i>Die Welt hat sich sehr verändert, seit ich jung war.</i>; young, old, youthful <br> <i>The world has changed a great deal since I was young.</i> 
[sound:Katze_pronunciation.mp3] Katze <br> <i>Weihnachtsgrußkarte mit santa claus, katze und hund.</i>; cat, kitten, feline <br> <i>Christmas greeting card with santa claus, cat and dog.</i> 
[sound:Klein_pronunciation.mp3] Klein <br> <i>Ihre Handtasche sieht klein aus, aber sie ist innen überraschend geräumig.</i>; small, klein, little <br> <i>Her purse may look small, but it's surprisingly capacious inside.</i> 
[sound:Kommen_pronunciation.mp3] Kommen <br> <i>Sie würde niemals etwas zwischen sich und ihren Boss kommen lassen.</i>; come, get, arrive <br> <i>She would never let anything come between her and the boss.</i> 
[sound:Krankenhaus_pronunciation.mp3] Krankenhaus <br> <i>Seine Geschichte soll die Interessanteste über dieses krankenhaus sein.</i>; hospital, hospitalized, clinic <br> <i>His story is probably the most infamous about this hospital.</i> 
[sound:Kunst_pronunciation.mp3] Kunst <br> <i>Eine gelungene mischung von kunst, natur, geschichte und tradition.</i>; art, artwork, artistic <br> <i>A wonderful blend of art, culture, history and tradition.</i> 
[sound:Land_pronunciation.mp3] Land <br> <i>Wie sie sehen, ist wenig verändert in unserem land.</i>; country, land, countryside <br> <i>As you can see, little has changed in our country.</i> 
[sound:Laufe_pronunciation.mp3] Laufe <br> <i>Im laufe der Zeit neigte ich immer mehr zur Perfektion.</i>; course, later, run <br> <i>In the course of time i took photos with more perfection.</i> 
[sound:Leben_pronunciation.mp3] Leben <br> <i>Wir werden an einen schönen Ort gehen und dort gemeinsam leben.</i>; life, live, alive <br> <i>We'll go somewhere beautiful, and spend our life there.</i> 
[sound:Lektion_pronunciation.mp3] Lektion <br> <i>Die wichtigste lektion hier ist, nach den positiven seiten des versagens zu suchen.</i>; lesson, lecture, unit <br> <i>The important lesson here is for you to look for the positives in failure.</i> 
[sound:Lernen_pronunciation.mp3] Lernen <br> <i>Um voranzukommen, muss man lernen, sich an veränderte Umstände anzupassen.</i>; learn, study, meet <br> <i>To get ahead, one must learn to adapt to changing environments.</i> 
[sound:Lieblingsessen_pronunciation.mp3] Lieblingsessen <br> <i>Cameron diaz: "das frühstück ist mein lieblingsessen"</i>; favorite food, favourite food, favorite meal <br> <i>Cameron diaz: "breakfast is my favorite food"</i> 
[sound:Male_pronunciation.mp3] Male <br> <i>Beide male sind mir auch Gazellen begegnet die hier wild leben.</i>; times, paint, occasions <br> <i>Both times I have met too wild gazelles that live here.</i> 
[sound:Mehr_pronunciation.mp3] Mehr <br> <i>Wenn du das Pflaster zu langsam abziehst, könnte es mehr weh tun.</i>; more, longer, over <br> <i>If you pull off the bandage too slowly, it might hurt more.</i> 
[sound:Monat_pronunciation.mp3] Monat <br> <i>Ekadashi ist der elfte Tag des Mondes und kommt also zweimal im monat.</i>; month, monthly, one-month <br> <i>Ekadashi is the eleventh day of the moon so it is twice a month.</i> 
[sound:Neuestem_pronunciation.mp3] Neuestem <br> <i>Hinzu kommen mehrere freie Programmierer sowie studentische Mitarbeiter mit neuestem Know-how.</i>; latest, state-of-the-art, newest <br> <i>Added to this are several freelance programmers and students with the latest know-how.</i> 
[sound:Nur_pronunciation.mp3] Nur <br> <i>Sie arbeitet häufig an Wochenenden, was sie nur schneller ausbrennen lässt.</i>; only, just, within <br> <i>She frequently works weekends, which only causes her to burn out faster.</i> 
[sound:Platz_pronunciation.mp3] Platz <br> <i>Es lässt sich immer ein platz finden um eine Einheit zu installieren.</i>; place, space, room <br> <i>There is always some place a unit can be installed.</i> 
[sound:Praktikum_pronunciation.mp3] Praktikum <br> <i>deinen Horizont bei einem Auslandssemester oder -praktikum erweitern?</i>; internship, traineeship, placement <br> <i>expand your horizons with a semester or internship abroad?</i> 
[sound:Riesiges_pronunciation.mp3] Riesiges <br> <i>Wenn das passiert, beginnt sich ein riesiges Glücksrad zu drehen.</i>; huge, giant, vast <br> <i>When this slots into place a huge wheel of fortune starts spinning.</i> 
[sound:Schlafen_pronunciation.mp3] Schlafen <br> <i>Das einengende Bett war zu klein, um bequem darin zu schlafen.</i>; sleep, bed, asleep <br> <i>The confining bed was too small for him to sleep comfortably.</i> 
[sound:Single_pronunciation.mp3] Single <br> <i>Wisst ihr was, ich fühle mich heute so single.</i>; single, singles, singleton <br> <i>Well, you know, I am feeling so single today.</i> 
[sound:Stiefgeschwister_pronunciation.mp3] Stiefgeschwister <br> <i>Aus einer neuen Beziehung seiner Mutter kamen zwei Stiefgeschwister zur Welt.</i>; step-siblings, stepsiblings <br> <i>From a new relationship his mother engaged in, two step-siblings were born.</i> 
[sound:Studiert_pronunciation.mp3] Studiert <br> <i>Dort hatte er einst studiert und ist heute ihr jüngster Professor.</i>; studied, study, studying <br> <i>He studied there himself and is now its youngest ever professor.</i> 
[sound:Stunde_pronunciation.mp3] Stunde <br> <i>Die letzte halbe stunde widmet sich den fragen des publikums.</i>; hour, minutes, lesson <br> <i>The last half hour will be devoted to questions from the audience.</i> 
[sound:Trinken_pronunciation.mp3] Trinken <br> <i>Nach der berauschenden Erfahrung schwor sie, nie wieder zu trinken.</i>; drink, have, sip <br> <i>After the drugging experience, she swore she would never drink again.</i> 
[sound:Unterricht_pronunciation.mp3] Unterricht <br> <i>Wissens-banner-web-symbol für unterricht und bildung. buffaloboy</i>; lesson, class, teaching <br> <i>Knowledge banner web icon for lesson and education. buffaloboy</i> 
[sound:Verheiratet_pronunciation.mp3] Verheiratet <br> <i>Er gab ihr den Ring, und die beiden waren verheiratet.</i>; married, marriage, wife <br> <i>He gave her the ring, and the two were married.</i> 
[sound:Verwandte_pronunciation.mp3] Verwandte <br> <i>Dann ist es wichtig, daß der verwandte zeitliche Bezug eindeutig ist.</i>; related, relatives, relative <br> <i>It is important that the related temporal reference is clear.</i> 
[sound:Weitermachen_pronunciation.mp3] Weitermachen <br> <i>Wir können nicht einfach weitermachen, als ob nichts geschehen wäre.</i>; continue, go on, move on <br> <i>It is not acceptable to continue as if nothing had happened.</i> 
[sound:Wirklich_pronunciation.mp3] Wirklich <br> <i>Ich möchte wirklich reisen, aber das wird nicht so bald passieren.</i>; really, truly, actually <br> <i>I really want to travel, but it's not happening anytime soon.</i> 
[sound:Woche_pronunciation.mp3] Woche <br> <i>Es war eine schwierige woche, aber ich habe mein ziel erreicht.</i>; week, weekly, weekdays <br> <i>It has been a difficult week, but I achieved my goal.</i> 
[sound:Wohnen_pronunciation.mp3] Wohnen <br> <i>Ich dachte immer, du kämst wieder und würdest hier wohnen.</i>; live, stay, you'll be <br> <i>I always thought that you would come back and live here.</i> 
[sound:Wohnung_pronunciation.mp3] Wohnung <br> <i>Sie sind perfekt für hotel, wohnung und wohn entwicklungen.</i>; apartment, flat, home <br> <i>They are perfect for hotel, apartment and residential developments.</i> 
[sound:Zeit_pronunciation.mp3] Zeit <br> <i>Schreiben sie uns und in kürzester zeit werden wir ihnen antworten.</i>; time, period, day <br> <i>Contact us and we will reply in the shortest time possible.</i> 
